epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
70,250.801,0.04773,0.96696,1,0.14639,0.000352076,0.000352076,0.000352076
71,254.414,0.05309,0.96307,1,0.1584,0.000341077,0.000341077,0.000341077
72,257.736,0.0526,0.96987,1,0.13019,0.000330078,0.000330078,0.000330078
73,261.564,0.04691,0.96404,1,0.14778,0.000319079,0.000319079,0.000319079
74,265.125,0.04632,0.97085,1,0.12752,0.00030808,0.00030808,0.00030808
75,268.817,0.0487,0.97279,1,0.11918,0.000297081,0.000297081,0.000297081
76,272.625,0.04153,0.96793,1,0.12889,0.000286083,0.000286083,0.000286083
77,276.505,0.03544,0.97085,1,0.16886,0.000275084,0.000275084,0.000275084
78,280.302,0.03508,0.97279,1,0.21987,0.000264085,0.000264085,0.000264085
79,283.922,0.04108,0.96501,1,0.13987,0.000253086,0.000253086,0.000253086
80,287.709,0.03819,0.96113,1,0.13909,0.000242087,0.000242087,0.000242087
81,291.349,0.04518,0.97182,1,0.12877,0.000231088,0.000231088,0.000231088
82,294.987,0.03107,0.97182,1,0.22622,0.000220089,0.000220089,0.000220089
83,298.641,0.03468,0.97085,1,0.13327,0.00020909,0.00020909,0.00020909
84,302.152,0.03303,0.97279,1,0.13327,0.000198091,0.000198091,0.000198091
85,305.928,0.0316,0.96793,1,0.16555,0.000187092,0.000187092,0.000187092
86,309.671,0.03198,0.9689,1,0.1397,0.000176094,0.000176094,0.000176094
87,313.475,0.02674,0.96696,1,0.14347,0.000165095,0.000165095,0.000165095
88,317.175,0.0284,0.96599,1,0.13874,0.000154096,0.000154096,0.000154096
89,320.844,0.02859,0.96501,1,0.14881,0.000143097,0.000143097,0.000143097
90,324.352,0.03199,0.9689,1,0.14538,0.000132098,0.000132098,0.000132098
