model,checkpoint,top1_accuracy,top1_percent,top5_accuracy,top5_percent,preprocess_ms_per_image,inference_ms_per_image,postprocess_ms_per_image,fps_from_inference,parameters,parameters_million,checkpoint_size_mib
YOLO26n,/home/mpec-lab/YOLO26/runsYOLO26n/classify/material_yolo26s/weights/best.pt,0.9755381345748901,97.55381345748901,1.0,100.0,0.06923272407480649,0.24071174132439022,0.00016733552028521634,4154.346582755058,1532429,1.532429,3.050722122192383
YOLO26s,/home/mpec-lab/YOLO26/runsYOLO26s/classify/material_yolo26s/weights/best.pt,0.9618395566940308,96.18395566940308,1.0,100.0,0.052036461465920954,0.30067979144898416,0.0005371817579008129,3325.7971717386545,5440533,5.440533,10.523500442504883
YOLO26m,/home/mpec-lab/YOLO26/runsYOLO26m/classify/material_yolo26s/weights/best.pt,0.965753436088562,96.5753436088562,1.0,100.0,0.04599072538505795,0.5605216666604091,0.0014856034878881943,1784.0523560097238,10348037,10.348037,19.92012596130371
YOLO26l,/home/mpec-lab/YOLO26/runsYOLO26l/classify/material_yolo26l/weights/best.pt,0.9481409192085266,94.81409192085266,1.0,100.0,0.037162037066925765,0.5908478361257368,0.0015358511657397574,1692.4831383950311,12824837,12.824837,24.73845672607422
YOLO26x,/home/mpec-lab/YOLO26/runsYOLO26x/classify/material_yolo26x/weights/best.pt,0.951076328754425,95.1076328754425,1.0,100.0,0.08080870919148284,1.0746354373890008,0.00024407941651204327,930.54813307633,28338821,28.338821,54.37291717529297
